sentiment_score,sentiment_label,Comments,Likes,Retweets,price_trend_label
-0.296,-1,129,110,1591,0
0.2263,1,40,59,1118,0
0.0,0,632,4078,56400,0
-0.3612,-1,3980,61700,479100,0
0.6688,1,3729,20700,241500,0
0.4003,1,3327,13700,120200,0
0.0,0,3763,10000,70800,0
0.836,1,2248,12400,134800,0
-0.8271,-1,1150,7208,58200,0
0.0,0,9347,5027,81300,0
0.0,0,1295,2133,51700,-1
-0.6705,-1,480,2719,60900,0
0.0,0,1096,1324,43800,0
0.836,1,189,2042,70300,0
-0.4576,-1,191,448,15300,0
0.0,0,1020,760,21100,0
0.7906,1,664,1587,47500,0
0.3182,1,87,119,3572,0
0.0,0,114,64,1499,0
0.4019,1,181,239,12300,0
0.7096,1,246,225,11800,0
0.4019,1,78,75,4810,0
0.4404,1,148,436,5246,0
0.0,0,71,65,1243,0
0.1027,1,217,161,3024,0
0.0,0,27,45,1194,0
0.7003,1,42,45,1057,0
0.0,0,60,69,1373,0
0.4019,1,62,43,1433,0
0.0,0,96,90,1964,-1
0.0,0,55,58,1906,0
0.4753,1,47,52,1002,0
0.4939,1,23,40,1102,0
0.4404,1,31,29,1122,0
0.4926,1,88,111,1789,0
-0.0516,-1,121,150,2624,0
0.4215,1,6,29,512,0
0.0,0,55,70,1524,0
0.0,0,194,130,3247,0
0.0,0,36,49,827,-1
0.0,0,26,47,639,0
-0.2649,-1,84,111,1504,0
-0.4003,-1,35,67,1221,0
0.0,0,4680,24800,218900,0
0.0,0,255,1025,15400,0
0.0,0,159,137,4422,0
0.0,0,162,240,6821,0
0.4019,1,40,53,1231,-1
0.0,0,48,79,2766,0
0.0,0,112,87,2438,0
-0.4939,-1,1986,10300,107400,0
-0.4939,-1,1350,3952,52300,0
-0.5267,-1,4252,6727,55400,0
0.4404,1,1067,4609,15700,0
0.0,0,525,590,21700,-1
0.4215,1,156,362,2155,0
0.4224,1,3384,3131,11200,0
0.4215,1,78,98,2548,0
0.296,1,45,53,1007,1
0.8402,1,132,608,2606,0
0.0,0,107,136,4475,0
0.4404,1,389,933,11100,0
0.0,0,8964,21800,12200,0
0.1625,1,665,690,3872,0
-0.2764,-1,254,409,6051,0
0.0,0,65,72,996,0
0.0,0,177,335,4121,0
0.4215,1,224,406,5960,0
0.6114,1,175,431,4889,0
0.4404,1,72,53,1219,-1
0.0,0,193,290,1687,0
